DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2014,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2015,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2016,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2017,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2018,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2019,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2020,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2021,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2022,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2023,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LT,2024,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2013,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2014,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2015,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2016,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2017,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2018,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2019,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2020,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2021,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2022,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2023,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,LU,2024,0.00,
